KB_Number,Installed,Hostname,Domain,IP_Address,Operating System,IP Address,KB
KB5058524,No,wsus,ansible.lab,192.168.1.8,Windows 2022Server,,
KB5058385,No,wsus,ansible.lab,192.168.1.8,Windows 2022Server,,
KB5058383,No,wsus,ansible.lab,192.168.1.8,Windows 2022Server,,
KB5058392,No,wsus,ansible.lab,192.168.1.8,Windows 2022Server,,
TEST,Yes,wsus,ansible.lab,192.168.1.8,Windows 2022Server,,
,No,wsus,,,,192.168.1.8,KB5055661
,Yes,wsus,,,,192.168.1.8,KB5055526
,No,wsus,,,,192.168.1.8,KB5055519
,No,wsus,,,,192.168.1.8,KB5055521
,No,server19,,,,192.168.1.26,KB5055661
,No,server19,,,,192.168.1.26,KB5055526
,Yes,server19,,,,192.168.1.26,KB5055519
,No,server19,,,,192.168.1.26,KB5055521
,Yes,server16,,,,192.168.1.7,KB5055661
,No,server16,,,,192.168.1.7,KB5055526
,No,server16,,,,192.168.1.7,KB5055519
,Yes,server16,,,,192.168.1.7,KB5055521
TEST,Yes,ansible-dc,ansible.lab,192.168.1.5,Windows 2022Server,,
KB5058524,No,ansible-dc,ansible.lab,192.168.1.5,Windows 2022Server,,
KB5058385,No,ansible-dc,ansible.lab,192.168.1.5,Windows 2022Server,,
KB5058383,No,ansible-dc,ansible.lab,192.168.1.5,Windows 2022Server,,
KB5058392,No,ansible-dc,ansible.lab,192.168.1.5,Windows 2022Server,,
TEST,Yes,server19,ansible.lab,192.168.1.26,Windows 2019Server,,
KB5058524,No,server19,ansible.lab,192.168.1.26,Windows 2019Server,,
KB5058385,No,server19,ansible.lab,192.168.1.26,Windows 2019Server,,
KB5058383,No,server19,ansible.lab,192.168.1.26,Windows 2019Server,,
KB5058392,No,server19,ansible.lab,192.168.1.26,Windows 2019Server,,
TEST,Yes,server16,ansible.lab,192.168.1.7,Windows 2016Server,,
KB5058524,No,server16,ansible.lab,192.168.1.7,Windows 2016Server,,
KB5058385,No,server16,ansible.lab,192.168.1.7,Windows 2016Server,,
KB5058383,No,server16,ansible.lab,192.168.1.7,Windows 2016Server,,
KB5058392,No,server16,ansible.lab,192.168.1.7,Windows 2016Server,,
